1,1.1mp.cws.pittsburgh.whole,,,,,,,,,,,,,,,
,train,,,v1,,,v2,,,v3,,,v4,,,occp
Date/Time,training,[1] System Node Mass Flow Rate (kg/s),,testing1,,,testing2,,,testing3,,,testing4,,,
2002/6/1 11:10,-1026643.973,77.3421103,0.50851854,-307529.3744,95.57025084,0.628367189,-619326.519,95.57025084,0.628367189,-388029.6573,95.57025084,0.628367189,-734981.7897,95.57025084,0.628367189,0.72
2002/6/1 11:20,-982469.9136,77.3421103,0.50851854,-321727.598,95.57025084,0.628367189,-617485.0152,95.57025084,0.628367189,-391182.9414,95.57025084,0.628367189,-813130.9062,95.57025084,0.628367189,0.64
2002/6/1 11:30,-983152.3691,77.3421103,0.50851854,-328391.7288,95.57025084,0.628367189,-573143.0322,95.57025084,0.628367189,-353495.2144,95.57025084,0.628367189,-686684.9877,95.57025084,0.628367189,0.56
2002/6/1 11:40,-940218.3465,77.3421103,0.50851854,-315698.9533,95.57025084,0.628367189,-542537.0806,95.57025084,0.628367189,-366344.8778,95.57025084,0.628367189,-597242.0602,95.57025084,0.628367189,0.58
2002/6/1 11:50,-927450.9496,77.3421103,0.50851854,-317917.5511,95.57025084,0.628367189,-472004.2967,95.57025084,0.628367189,-361820.7197,95.57025084,0.628367189,-564222.7871,95.57025084,0.628367189,0.52
2002/6/1 12:00,-961111.8565,77.3421103,0.50851854,-318878.3733,95.57025084,0.628367189,-431222.4244,95.57025084,0.628367189,-370020.9261,95.57025084,0.628367189,-462167.7039,95.57025084,0.628367189,0.46
2002/6/1 12:10,-972810.4938,77.3421103,0.50851854,-301142.4979,95.57025084,0.628367189,-426669.6098,95.57025084,0.628367189,-348043.1392,95.57025084,0.628367189,-469937.2741,95.57025084,0.628367189,0.34
2002/6/1 12:20,-717257.9115,77.3421103,0.50851854,-297797.7216,95.57025084,0.628367189,-435210.8453,95.57025084,0.628367189,-318325.2033,95.57025084,0.628367189,-462371.641,95.57025084,0.628367189,0.38
2002/6/1 12:30,-657141.5045,77.3421103,0.50851854,-297986.6607,95.57025084,0.628367189,-453660.3649,95.57025084,0.628367189,-316123.2313,95.57025084,0.628367189,-455683.5413,95.57025084,0.628367189,0.36
2002/6/1 12:40,-622555.8484,77.3421103,0.50851854,-297385.488,95.57025084,0.628367189,-479983.6327,95.57025084,0.628367189,-307173.0386,95.57025084,0.628367189,-509132.3726,95.57025084,0.628367189,0.28
2002/6/1 12:50,-613136.0398,77.3421103,0.50851854,-297483.8962,95.57025084,0.628367189,-500043.438,95.57025084,0.628367189,-317517.2518,95.57025084,0.628367189,-545443.0092,95.57025084,0.628367189,0.44
2002/6/1 13:00,-665926.0058,77.3421103,0.50851854,-312584.06,95.57025084,0.628367189,-542369.32,95.57025084,0.628367189,-339545.6719,95.57025084,0.628367189,-601036.0493,95.57025084,0.628367189,0.34
2002/6/1 13:10,-766757.4702,77.3421103,0.50851854,-304073.4272,95.57025084,0.628367189,-522462.1075,95.57025084,0.628367189,-324849.0729,95.57025084,0.628367189,-609717.1707,95.57025084,0.628367189,0.36
2002/6/1 13:20,-907998.0294,77.3421103,0.50851854,-304967.4649,95.57025084,0.628367189,-505554.8511,95.57025084,0.628367189,-319902.2058,95.57025084,0.628367189,-579076.2424,95.57025084,0.628367189,0.34
2002/6/1 13:30,-961363.4807,77.3421103,0.50851854,-308257.7264,95.57025084,0.628367189,-499334.9981,95.57025084,0.628367189,-327408.656,95.57025084,0.628367189,-535860.146,95.57025084,0.628367189,0.42
2002/6/1 13:40,-953209.0257,77.3421103,0.50851854,-310238.8689,95.57025084,0.628367189,-483852.3739,95.57025084,0.628367189,-350474.9508,95.57025084,0.628367189,-551691.2122,95.57025084,0.628367189,0.52
2002/6/1 13:50,-949796.7706,77.3421103,0.50851854,-316110.0747,95.57025084,0.628367189,-488495.9431,95.57025084,0.628367189,-411793.8408,95.57025084,0.628367189,-526538.9992,95.57025084,0.628367189,0.56
2002/6/1 14:00,-815834.0321,77.3421103,0.50851854,-322398.7774,95.57025084,0.628367189,-483878.759,95.57025084,0.628367189,-409572.8978,95.57025084,0.628367189,-576849.9655,95.57025084,0.628367189,0.82
2002/6/1 14:10,-969328.1937,77.3421103,0.50851854,-367022.1564,95.57025084,0.628367189,-535318.7314,95.57025084,0.628367189,-526664.1072,95.57025084,0.628367189,-771282.8867,95.57025084,0.628367189,0.98
2002/6/1 14:20,-905635.6693,77.3421103,0.50851854,-385513.7254,95.57025084,0.628367189,-666050.8502,95.57025084,0.628367189,-568646.3516,95.57025084,0.628367189,-871143.9137,95.57025084,0.628367189,0.84
2002/6/1 14:30,-892420.8548,77.3421103,0.50851854,-361473.1597,95.57025084,0.628367189,-668197.3067,95.57025084,0.628367189,-524560.3379,95.57025084,0.628367189,-825252.1148,95.57025084,0.628367189,0.82
2002/6/1 14:40,-1056629.213,77.3421103,0.50851854,-356859.0158,95.57025084,0.628367189,-696301.9038,95.57025084,0.628367189,-497125.4533,95.57025084,0.628367189,-800478.8038,95.57025084,0.628367189,0.94
2002/6/1 14:50,-1100757.977,77.3421103,0.50851854,-393967.7176,95.57025084,0.628367189,-758078.1868,95.57025084,0.628367189,-496319.3179,95.57025084,0.628367189,-872308.7203,95.57025084,0.628367189,0.96
2002/6/1 15:00,-1137470.283,77.3421103,0.50851854,-364283.5616,95.57025084,0.628367189,-788052.79,95.57025084,0.628367189,-547993.6922,95.57025084,0.628367189,-1039160.477,95.57025084,0.628367189,0.7
2002/6/1 15:10,-979843.232,77.3421103,0.50851854,-341790.9288,95.57025084,0.628367189,-696199.8343,95.57025084,0.628367189,-450069.7311,95.57025084,0.628367189,-828941.0853,95.57025084,0.628367189,0.7
2002/6/1 15:20,-964594.3187,77.3421103,0.50851854,-338983.8169,95.57025084,0.628367189,-621707.3485,95.57025084,0.628367189,-448104.588,95.57025084,0.628367189,-741082.9154,95.57025084,0.628367189,0.7
2002/6/1 15:30,-998597.477,77.3421103,0.50851854,-355958.6176,95.57025084,0.628367189,-579705.8881,95.57025084,0.628367189,-456679.4144,95.57025084,0.628367189,-749628.2983,95.57025084,0.628367189,0.64
2002/6/1 15:40,-1009782.755,77.3421103,0.50851854,-338895.1271,95.57025084,0.628367189,-511431.3662,95.57025084,0.628367189,-481479.9924,95.57025084,0.628367189,-598108.6849,95.57025084,0.628367189,0.6
2002/6/1 15:50,-1025636.299,77.3421103,0.50851854,-335781.7624,95.57025084,0.628367189,-461193.5847,95.57025084,0.628367189,-451055.2528,95.57025084,0.628367189,-553567.1747,95.57025084,0.628367189,0.62
2002/6/1 16:00,-1031736.635,77.3421103,0.50851854,-349443.4919,95.57025084,0.628367189,-439055.8991,95.57025084,0.628367189,-482164.1043,95.57025084,0.628367189,-521797.032,95.57025084,0.628367189,0.72
2002/6/1 16:10,-1092417.556,77.3421103,0.50851854,-381954.9428,95.57025084,0.628367189,-447790.2037,95.57025084,0.628367189,-475325.0455,95.57025084,0.628367189,-523643.7674,95.57025084,0.628367189,0.74
2002/6/1 16:20,-1055936.46,77.3421103,0.50851854,-358104.4026,95.57025084,0.628367189,-456951.1818,95.57025084,0.628367189,-499945.4502,95.57025084,0.628367189,-553568.4129,95.57025084,0.628367189,0.76
2002/6/1 16:30,-1058384.686,77.3421103,0.50851854,-353082.8055,95.57025084,0.628367189,-496660.5205,95.57025084,0.628367189,-485774.3189,95.57025084,0.628367189,-600257.2024,95.57025084,0.628367189,0.74
2002/6/1 16:40,-1030796.971,77.3421103,0.50851854,-359867.0463,95.57025084,0.628367189,-472528.5872,95.57025084,0.628367189,-489801.5811,95.57025084,0.628367189,-569580.6838,95.57025084,0.628367189,0.72
2002/6/1 16:50,-1021584.15,77.3421103,0.50851854,-351788.9724,95.57025084,0.628367189,-486689.5442,95.57025084,0.628367189,-462919.233,95.57025084,0.628367189,-585623.1268,95.57025084,0.628367189,0.6
2002/6/1 17:00,-1018477.371,77.3421103,0.50851854,-367671.7164,95.57025084,0.628367189,-444443.1177,95.57025084,0.628367189,-470896.8841,95.57025084,0.628367189,-499047.277,95.57025084,0.628367189,0.68
2002/6/1 17:10,-535266.764,77.3421103,0.50851854,-331577.4461,95.57025084,0.628367189,-406373.7118,95.57025084,0.628367189,-329344.0041,95.57025084,0.628367189,-393591.3671,95.57025084,0.628367189,0.56
2002/6/1 17:20,-430542.0373,77.3421103,0.50851854,-327375.8721,95.57025084,0.628367189,-427442.1197,95.57025084,0.628367189,-308665.4628,95.57025084,0.628367189,-410621.5616,95.57025084,0.628367189,0.36
2002/6/1 17:30,-432828.8958,77.3421103,0.50851854,-325944.384,95.57025084,0.628367189,-451372.8307,95.57025084,0.628367189,-309926.6729,95.57025084,0.628367189,-437092.671,95.57025084,0.628367189,0.18
2002/6/1 17:40,-434633.4842,77.3421103,0.50851854,-321947.0701,95.57025084,0.628367189,-472108.6904,95.57025084,0.628367189,-308969.9083,95.57025084,0.628367189,-457224.0523,95.57025084,0.628367189,0.24
2002/6/1 17:50,-434674.5436,77.3421103,0.50851854,-317397.9041,95.57025084,0.628367189,-494187.9125,95.57025084,0.628367189,-305821.065,95.57025084,0.628367189,-479433.054,95.57025084,0.628367189,0.2
2002/6/1 18:00,-436845.0472,77.3421103,0.50851854,-312820.4135,95.57025084,0.628367189,-519321.1628,95.57025084,0.628367189,-304164.1212,95.57025084,0.628367189,-504709.1084,95.57025084,0.628367189,0.1
2002/6/1 18:10,-436613.0992,77.3421103,0.50851854,-310954.934,95.57025084,0.628367189,-493581.5616,95.57025084,0.628367189,-304011.382,95.57025084,0.628367189,-479836.7813,95.57025084,0.628367189,0.08
2002/6/1 18:20,-432843.0966,77.3421103,0.50851854,-307616.9387,95.57025084,0.628367189,-452621.461,95.57025084,0.628367189,-300754.248,95.57025084,0.628367189,-441041.2435,95.57025084,0.628367189,0.02
2002/6/1 18:30,-425017.4674,77.3421103,0.50851854,-305218.6873,95.57025084,0.628367189,-408148.1635,95.57025084,0.628367189,-297227.0189,95.57025084,0.628367189,-398628.9787,95.57025084,0.628367189,0
2002/6/1 18:40,-415250.0823,77.3421103,0.50851854,-302672.6759,95.57025084,0.628367189,-364312.3986,95.57025084,0.628367189,-295286.1486,95.57025084,0.628367189,-354788.6421,95.57025084,0.628367189,0
2002/6/1 18:50,-408287.0848,77.3421103,0.50851854,-300818.4436,95.57025084,0.628367189,-322234.5512,95.57025084,0.628367189,-293373.8821,95.57025084,0.628367189,-312780.3239,95.57025084,0.628367189,0
2002/6/1 19:00,-401956.5382,77.3421103,0.50851854,-299485.3883,95.57025084,0.628367189,-282182.5671,95.57025084,0.628367189,-291949.834,95.57025084,0.628367189,-272513.911,95.57025084,0.628367189,0
2002/6/1 19:10,-400380.6221,77.3421103,0.50851854,-298163.499,95.57025084,0.628367189,-268089.7391,95.57025084,0.628367189,-290485.4795,95.57025084,0.628367189,-258536.6823,95.57025084,0.628367189,0
2002/6/1 19:20,-399971.519,77.3421103,0.50851854,-296632.0261,95.57025084,0.628367189,-262287.1751,95.57025084,0.628367189,-288829.9344,95.57025084,0.628367189,-253352.4428,95.57025084,0.628367189,0
