1,1.csl.vavDx.light.pittsburgh,
2,3.csl.vavDx.heavy.pittsburgh,
,1ST%FLOOR:1ST%RESEARCH%OPEN%NW,1ST%FLOOR:1ST%RESEARCH%OPEN%NW
Date/Time,[1] Zone Air Temperature (C),[2] Zone Air Temperature (C)
2002/6/4 19:40,22.3355589,22.75086917
2002/6/4 19:50,22.18663249,22.57067389
2002/6/4 20:00,22.04055221,22.42555588
2002/6/4 20:10,21.89412032,22.33619621
2002/6/4 20:20,21.81393052,22.29360958
2002/6/4 20:30,21.79631098,22.27188982
2002/6/4 20:40,21.74166385,22.20419632
2002/6/4 20:50,21.64082542,22.1213901
2002/6/4 21:00,21.56068247,22.0880752
2002/6/4 21:10,21.58439467,22.07755703
2002/6/4 21:20,21.584137,22.05026084
2002/6/4 21:30,21.52706873,21.99030856
2002/6/4 21:40,21.43675831,21.90868869
2002/6/4 21:50,21.35491687,21.83697494
2002/6/4 22:00,21.3129844,21.8038983
2002/6/4 22:10,21.25055174,21.7488481
2002/6/4 22:20,21.17766447,21.68306189
2002/6/4 22:30,21.0914656,21.60519444
2002/6/4 22:40,21.00446237,21.52727206
2002/6/4 22:50,20.97324089,21.50541195
2002/6/4 23:00,20.88718049,21.42887286
2002/6/4 23:10,20.86433306,21.41544303
2002/6/4 23:20,20.8945956,21.45288209
2002/6/4 23:30,20.96820913,21.53158245
2002/6/4 23:40,20.86567897,21.47800539
2002/6/4 23:50,20.67852085,21.36317435
2002/6/5 0:00,20.51526855,21.23061015
2002/6/5 0:10,20.43892775,21.13558555
2002/6/5 0:20,20.41532118,21.07934619
