1,13.csl.vavDx.light.pittsburgh.heat,
2,15.csl.vavDx.heavy.pittsburgh.heat,
,,
Date/Time,[1] Zone Air Temperature (C),[2] Zone Air Temperature (C)
2002/1/4 16:30,21.91485103,22.51453378
2002/1/4 16:40,21.91454551,22.51451542
2002/1/4 16:50,21.91452569,22.51439665
2002/1/4 17:00,21.9144825,22.51438488
2002/1/4 17:10,22.76127905,21.63037654
2002/1/4 17:20,22.78130774,21.57663176
2002/1/4 17:30,22.78148988,21.57611332
2002/1/4 17:40,22.78179517,21.57606872
2002/1/4 17:50,22.78184639,21.57606713
2002/1/4 18:00,22.78187439,21.57659327
2002/1/4 18:10,21.93653892,22.47394455
2002/1/4 18:20,21.88201857,22.52572336
2002/1/4 18:30,21.8804432,22.5233565
2002/1/4 18:40,21.88087615,22.52731122
2002/1/4 18:50,21.8809937,22.52866188
2002/1/4 19:00,21.88106161,22.52941854
2002/1/4 19:10,22.37752629,23.18136757
2002/1/4 19:20,22.39475819,23.18834431
2002/1/4 19:30,22.39595049,23.19634957
2002/1/4 19:40,22.39624488,23.19916502
2002/1/4 19:50,22.39625404,23.20031884
2002/1/4 20:00,22.38933307,23.20073333
2002/1/4 20:10,19.36113767,19.63848563
2002/1/4 20:20,18.26802452,18.36160633
2002/1/4 20:30,18.1198952,18.13427913
2002/1/4 20:40,18.10861065,18.12084531
2002/1/4 20:50,18.11413672,18.12735121
2002/1/4 21:00,18.11547663,18.12865469
2002/1/4 21:10,17.54663947,17.99837196
2002/1/4 21:20,17.53968774,17.99820873
2002/1/4 21:30,17.54002632,17.99903159
2002/1/4 21:40,17.53305571,17.99200132
2002/1/4 21:50,17.5372963,17.9960684
2002/1/4 22:00,17.53776614,17.99673603
2002/1/4 22:10,19.31699458,18.94291008
2002/1/4 22:20,19.36916166,18.97049037
2002/1/4 22:30,19.3589988,18.96715231
2002/1/4 22:40,19.36580956,18.96989487
2002/1/4 22:50,19.3681784,18.97074779
2002/1/4 23:00,19.36912675,18.97102178
2002/1/4 23:10,17.91315971,18.70512331
2002/1/4 23:20,17.7402672,18.70406075
2002/1/4 23:30,17.72820744,18.69645369
2002/1/4 23:40,17.73388198,18.7017191
2002/1/4 23:50,17.73566432,18.70301459
2002/1/5 0:00,17.73626538,18.70336842
2002/1/5 0:10,18.55907351,18.48949826
2002/1/5 0:20,18.5764433,18.4879928
2002/1/5 0:30,18.56480172,18.48032555
2002/1/5 0:40,18.57233239,18.48556981
2002/1/5 0:50,18.57518218,18.48685545
2002/1/5 1:00,18.57561662,18.4872989
2002/1/5 1:10,17.59135448,19.10111868
2002/1/5 1:20,17.54077124,19.11016898
2002/1/5 1:30,17.5308406,19.10259537
2002/1/5 1:40,17.5350549,19.10736962
2002/1/5 1:50,17.53588952,19.10877668
2002/1/5 2:00,17.53642399,19.10917335
2002/1/5 2:10,17.89616905,17.82044098
